6275528105435250,Code-128,10:44:22 AM, 1/24/12
6275538103258170,Code-128,10:44:24 AM, 1/24/12
6275548103055520,Code-128,10:44:26 AM, 1/24/12
6275558103044740,Code-128,10:44:27 AM, 1/24/12
6275568103448730,Code-128,10:44:27 AM, 1/24/12
6275578103454770,Code-128,10:44:30 AM, 1/24/12
6275588101331070,Code-128,10:44:32 AM, 1/24/12
6275598103218311,Code-128,10:44:34 AM, 1/24/12
6275608103785731,Code-128,10:44:35 AM, 1/24/12
6275618103211271,Code-128,10:44:38 AM, 1/24/12
6275628105475371,Code-128,10:44:40 AM, 1/24/12
6275638103515842,Code-128,10:44:41 AM, 1/24/12
6275648103375070,Code-128,10:44:43 AM, 1/24/12
6275658105004531,Code-128,10:44:44 AM, 1/24/12
6275668105053300,Code-128,10:44:46 AM, 1/24/12
6275688103457511,Code-128,10:44:47 AM, 1/24/12
6275698103330352,Code-128,10:44:49 AM, 1/24/12
6275718105115350,Code-128,10:44:51 AM, 1/24/12
6275728105025240,Code-128,10:44:52 AM, 1/24/12
6275738100258850,Code-128,10:44:52 AM, 1/24/12
6275748105077410,Code-128,10:44:55 AM, 1/24/12
6275758103745330,Code-128,10:44:56 AM, 1/24/12
6275768103138070,Code-128,10:44:59 AM, 1/24/12
6275778105103480,Code-128,10:45:01 AM, 1/24/12
6275858103513570,Code-128,10:45:02 AM, 1/24/12
6275888102345671,Code-128,10:45:04 AM, 1/24/12
